,id_review,rating,compound,Sentiment,pred,temp_pred,fin_pred
ChZDSUhNMG9nS0VJQ0FnSUMwemJ5SmFBEAE,One of the best engineering institute. Now got the Institute of Eminence by govt of India.,5.0,0.6369,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURZMWIzdXRnRRAB,"Awesome place many trees,cool environment and good hostels...",5.0,0.7906,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURZcE16d2xBRRAB,Excellent Campus.,4.0,0.5719,Positive,3,3.5,4
ChZDSUhNMG9nS0VJQ0FnSURraWFEaVBnEAE,Great Infrastructure,5.0,0.6249,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNzMDc2Tkp3EAE,Bloody college. Thirst for money. Huge campus and should pay for the settle bus fare.....  Just a business to top.,1.0,-0.0516,Negative,1,1.0,1
ChdDSUhNMG9nS0VJQ0FnSURVaU5ycTZnRRAB,"One of the best campus in India,More than 10000 students are staying in hostel alone. they have 3 different kind of mess also south indian, north indian and international mess .Full of greenery every where.",5.0,-0.2716,Negative,1,3.0,3
ChZDSUhNMG9nS0VJQ0FnSUNZdDViN1FnEAE,Best campus,5.0,0.6369,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURzb3VEeWx3RRAB,Awesome,5.0,0.6249,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUNna2NlVDlnRRAB,Ok,4.0,0.296,Positive,2,3.0,3
ChdDSUhNMG9nS0VJQ0FnSUM4aXE3SjhBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURNeXZxSTJ3RRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUM4aG9TWHdRRRAB,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUQ4NmVxSHVRRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUMwenQ3NnBBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURneEx5MHBBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURNNWNiN2h3RRAB,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURNN3BHNWhRRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNZazRpMmN3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURzMXRYT1pnEAE,,1.0,1.5,Positive,5,1.0,1
ChZDSUhNMG9nS0VJQ0FnSURzMExUcFdBEAE,,2.0,1.5,Positive,5,2.0,2
ChZDSUhNMG9nS0VJQ0FnSUM4NnU2eVRnEAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNReGRiTlJ3EAE,,1.0,1.5,Positive,5,1.0,1
ChZDSUhNMG9nS0VJQ0FnSURFcHM3ZFJnEAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURrN2ZfY0h3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURraS1LUERBEAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNzdl9YSkFREAE,,4.0,1.5,Positive,5,4.0,4
